T,Pressure,Tpot,Tdew,VPmax,VPdef,VPact,Date
0.71,1008.89,273.18,-1.33,6.43,0.89,5.54,2020-01-01 00:10:00
0.75,1008.76,273.22,-1.44,6.45,0.95,5.49,2020-01-01 00:20:00
0.73,1008.66,273.21,-1.48,6.44,0.96,5.48,2020-01-01 00:30:00
0.37,1008.64,272.86,-1.64,6.27,0.86,5.41,2020-01-01 00:40:00
0.33,1008.61,272.82,-1.5,6.26,0.79,5.47,2020-01-01 00:50:00
0.34,1008.44,272.84,-1.54,6.26,0.81,5.45,2020-01-01 01:00:00
0.19,1008.49,272.69,-1.65,6.19,0.78,5.41,2020-01-01 01:10:00
0.11,1008.29,272.63,-1.61,6.16,0.73,5.43,2020-01-01 01:30:00
0.22,1008.28,272.73,-1.62,6.2,0.78,5.42,2020-01-01 01:40:00
-0.04,1008.24,272.48,-1.85,6.09,0.76,5.33,2020-01-01 01:50:00
-0.21,1008.32,272.3,-1.78,6.01,0.66,5.36,2020-01-01 02:00:00
-0.1,1008.24,272.42,-1.74,6.06,0.69,5.37,2020-01-01 02:10:00
-0.16,1008.35,272.35,-1.88,6.04,0.72,5.32,2020-01-01 02:20:00
-0.22,1008.3,272.3,-1.82,6.01,0.67,5.34,2020-01-01 02:30:00
-0.06,1008.4,272.45,-1.77,6.08,0.72,5.36,2020-01-01 02:40:00
-0.17,1008.39,272.34,-1.81,6.03,0.69,5.35,2020-01-01 02:50:00
